Time	Lead II
7.98	-0.0586169
7.99	-0.0360476
8	-0.01155
8.01	-0.0365446
8.02	0.00375075
8.03	-0.0373884
8.04	-0.0266444
8.05	-0.0187684
8.06	-0.0557682
8.07	-0.015851
8.08	-0.0542129
8.09	-0.0423889
8.1	-0.029241
8.11	-0.0632012
8.12	-0.0242079
8.13	-0.061718
8.14	-0.0476453
8.15	-0.037462
8.16	-0.0736271
8.17	-0.0287413
8.18	-0.0633465
8.19	-0.0570006
8.2	-0.0448003
8.21	-0.0728752
8.22	-0.0283113
8.23	-0.0639518
8.24	-0.0552255
8.25	-0.0439033
8.26	-0.0756741
8.27	-0.0287582
8.28	-0.0645825
8.29	-0.0547706
8.3	-0.0429786
8.31	-0.078707
8.32	-0.0332195
8.33	-0.0617425
8.34	-0.0460081
8.35	-0.0354264
8.36	-0.0688938
8.37	-0.018573
8.38	-0.0423027
8.39	-0.0146365
8.4	0.0330795
8.41	0.0306308
8.42	0.0806549
8.43	0.0377935
8.44	0.0285206
8.45	0.00290305
8.46	-0.0741256
8.47	-0.0597649
8.48	-0.105061
8.49	-0.0968883
8.5	-0.0921073
8.51	-0.123733
8.52	0.0410878
8.53	0.311974
8.54	0.602607
8.55	0.535529
8.56	0.187181
8.57	0.000749611
8.58	-0.102686
8.59	-0.0795081
8.6	-0.0451875
8.61	-0.0749124
8.62	-0.0280591
8.63	-0.054845
8.64	-0.03823
8.65	-0.0174825
8.66	-0.0502393
8.67	-0.00595897
8.68	-0.0366598
8.69	-0.0207361
8.7	0.00297924
8.71	-0.0212159
8.72	0.035239
8.73	0.015721
8.74	0.0399106
8.75	0.078137
8.76	0.0664194
8.77	0.136175
8.78	0.129854
8.79	0.162034
8.8	0.197772
8.81	0.167705
8.82	0.206317
8.83	0.162485
8.84	0.143763
8.85	0.121949
8.86	0.0442733
8.87	0.0494844
8.88	-0.015428
8.89	-0.0333888
8.9	-0.0323799
8.91	-0.0745411
8.92	-0.0341807
8.93	-0.0669656
8.94	-0.0557556
8.95	-0.0340308
8.96	-0.0705604
8.97	-0.0273961
8.98	-0.0549759
8.99	-0.0397073
9	-0.0168614
9.01	-0.0515997
9.02	-0.00743409
9.03	-0.0382169
9.04	-0.0328856
9.05	-0.0159548
9.06	-0.0538895
9.07	-0.0112797
9.08	-0.0459632
9.09	-0.047021
9.1	-0.0331813
9.11	-0.0691787
9.12	-0.0242654
9.13	-0.0579954
9.14	-0.0523306
9.15	-0.0324633
9.16	-0.0723308
9.17	-0.0345365
9.18	-0.0676567
9.19	-0.0577295
9.2	-0.0352483
9.21	-0.0749079
9.22	-0.0352259
9.23	-0.069193
9.24	-0.0671317
9.25	-0.0468737
9.26	-0.0850487
9.27	-0.0423716
9.28	-0.0729554
9.29	-0.0685489
9.3	-0.046
9.31	-0.0867857
9.32	-0.0438186
9.33	-0.0755649
9.34	-0.0704243
9.35	-0.0453476
9.36	-0.0824074
9.37	-0.0408992
9.38	-0.0731651
9.39	-0.0707777
9.4	-0.0495465
9.41	-0.0784947
9.42	-0.0167369
9.43	-0.0233398
9.44	0.0151984
9.45	0.0618153
9.46	0.02747
9.47	0.0565088
9.48	-0.0012003
9.49	-0.0348891
9.5	-0.0484804
9.51	-0.112968
9.52	-0.086811
9.53	-0.119939
9.54	-0.12144
9.55	-0.0883182
9.56	0.0175634
9.57	0.392256
9.58	0.624528
9.59	0.502745
9.6	0.198229
9.61	-0.0576651
9.62	-0.0738099
9.63	-0.0867489
9.64	-0.0638623
9.65	-0.035955
9.66	-0.0702144
9.67	-0.0232896
9.68	-0.0467202
9.69	-0.0419363
9.7	-0.0148535
9.71	-0.0489928
9.72	-0.00195502
9.73	-0.0202001
9.74	-0.00859692
9.75	0.0209494
9.76	-0.00780777
9.77	0.0517259
9.78	0.0391417
9.79	0.0613673
9.8	0.112485
9.81	0.101575
9.82	0.170881
9.83	0.163405
9.84	0.178647
9.85	0.210642
9.86	0.172798
9.87	0.198762
9.88	0.143183
9.89	0.107689
9.9	0.0878795
9.91	0.00458079
9.92	0.0136064
9.93	-0.0320549
9.94	-0.0419866
9.95	-0.0261188
9.96	-0.0719712
9.97	-0.03284
9.98	-0.0617732
9.99	-0.0593609
10	-0.0294816
10.01	-0.0661941
10.02	-0.0227364
10.03	-0.0461169
10.04	-0.0415506
10.05	-0.0103548
10.06	-0.0437727
10.07	-0.00088799
10.08	-0.0317024
10.09	-0.0324441
10.1	-0.00881755
10.11	-0.053397
10.12	-0.0176783
10.13	-0.047133
10.14	-0.0482069
10.15	-0.0296895
10.16	-0.0771005
10.17	-0.0348105
10.18	-0.0570357
10.19	-0.0558462
10.2	-0.0338086
10.21	-0.0776969
10.22	-0.0353122
10.23	-0.0568042
10.24	-0.0583132
10.25	-0.0364885
10.26	-0.0782681
10.27	-0.0387653
10.28	-0.0602823
10.29	-0.0597315
10.3	-0.034634
10.31	-0.0743313
10.32	-0.0375772
10.33	-0.0642765
10.34	-0.0651718
10.35	-0.0390097
10.36	-0.0804694
10.37	-0.0428962
10.38	-0.0714114
10.39	-0.0772095
10.4	-0.0495768
10.41	-0.0892331
10.42	-0.0460495
10.43	-0.0668409
10.44	-0.0680278
10.45	-0.0377063
10.46	-0.0702985
10.47	-0.0196759
10.48	-0.0184837
10.49	0.0112141
10.5	0.060218
10.51	0.0189708
10.52	0.0382847
10.53	-0.0230594
10.54	-0.0627806
10.55	-0.0640022
10.56	-0.124437
10.57	-0.0914085
10.58	-0.103889
10.59	-0.0646668
10.6	-0.0293307
10.61	0.119305
10.62	0.493239
10.63	0.583895
10.64	0.36298
10.65	0.0784386
10.66	-0.106911
10.67	-0.0858236
10.68	-0.102543
10.69	-0.0738457
10.7	-0.0447188
10.71	-0.0739477
10.72	-0.0313109
10.73	-0.063189
10.74	-0.0469672
10.75	-0.0260555
10.76	-0.0581069
10.77	-0.0133562
10.78	-0.0362414
10.79	-0.0116651
10.8	0.0124404
